id,month,n_CI
7.0,2020,1
8.0,2020,1
15.0,2020,1
17.0,2020,1
25.0,2020,1
47.0,2020,1
66.0,2020,1
125.0,2020,1
126.0,2020,1
148.0,2020,2
149.0,2020,2
158.0,2020,1
159.0,2020,1
175.0,2020,1
181.0,2020,2
187.0,2020,1
202.0,2020,1
203.0,2020,2
204.0,2020,1
210.0,2020,1
211.0,2020,1
212.0,2020,1
221.0,2020,1
230.0,2020,1
247.0,2020,1
251.0,2020,1
252.0,2020,1
306.0,2020,1
309.0,2020,1
321.0,2020,1
328.0,2020,1
350.0,2020,1
361.0,2020,1
376.0,2020,1
382.0,2020,1
383.0,2020,1
385.0,2020,1
396.0,2020,1
397.0,2020,1
406.0,2020,1
411.0,2020,1
412.0,2020,1
424.0,2020,2
425.0,2020,1
441.0,2020,1
442.0,2020,1
465.0,2020,1
470.0,2020,1
472.0,2020,1
484.0,2020,1
511.0,2020,1
15.0,jan,1
30.0,jan,1
32.0,jan,1
37.0,jan,1
39.0,jan,1
75.0,jan,1
77.0,jan,1
86.0,jan,1
126.0,jan,1
168.0,jan,1
175.0,jan,1
201.0,jan,1
202.0,jan,1
205.0,jan,1
210.0,jan,1
211.0,jan,1
215.0,jan,1
217.0,jan,1
237.0,jan,1
246.0,jan,1
251.0,jan,1
253.0,jan,1
273.0,jan,1
287.0,jan,1
310.0,jan,1
320.0,jan,1
342.0,jan,1
344.0,jan,1
345.0,jan,1
352.0,jan,1
369.0,jan,1
375.0,jan,1
382.0,jan,1
385.0,jan,1
388.0,jan,1
390.0,jan,1
407.0,jan,1
412.0,jan,2
418.0,jan,1
425.0,jan,1
440.0,jan,1
443.0,jan,1
450.0,jan,1
453.0,jan,1
454.0,jan,1
14.0,feb,1
18.0,feb,1
23.0,feb,1
30.0,feb,2
53.0,feb,1
55.0,feb,1
64.0,feb,1
72.0,feb,1
77.0,feb,1
78.0,feb,1
86.0,feb,1
89.0,feb,1
92.0,feb,1
112.0,feb,1
116.0,feb,1
144.0,feb,1
175.0,feb,1
177.0,feb,1
205.0,feb,1
209.0,feb,1
211.0,feb,2
212.0,feb,1
214.0,feb,1
216.0,feb,1
245.0,feb,1
246.0,feb,1
253.0,feb,1
308.0,feb,1
311.0,feb,1
315.0,feb,1
316.0,feb,1
317.0,feb,1
320.0,feb,1
321.0,feb,1
343.0,feb,1
346.0,feb,1
347.0,feb,1
348.0,feb,1
353.0,feb,1
378.0,feb,1
379.0,feb,1
382.0,feb,2
387.0,feb,1
396.0,feb,1
424.0,feb,1
443.0,feb,1
479.0,feb,1
485.0,feb,1
13.0,march,1
16.0,march,1
21.0,march,1
37.0,march,1
39.0,march,1
54.0,march,1
55.0,march,1
56.0,march,1
111.0,march,1
112.0,march,1
113.0,march,1
145.0,march,1
207.0,march,1
213.0,march,1
215.0,march,1
253.0,march,1
317.0,march,1
23.0,april,1
25.0,april,1
32.0,april,1
57.0,april,1
68.0,april,1
77.0,april,1
210.0,april,1
217.0,april,1
311.0,april,1
321.0,april,1
354.0,april,1
379.0,april,1
381.0,april,1
384.0,april,1
385.0,april,2
391.0,april,1
421.0,april,1
426.0,april,1
454.0,april,1
44.0,may,1
72.0,may,1
110.0,may,1
311.0,may,1
320.0,may,1
321.0,may,1
352.0,may,3
381.0,may,2
421.0,may,1
423.0,may,1
15.0,june,1
38.0,june,1
39.0,june,1
56.0,june,1
65.0,june,1
66.0,june,1
67.0,june,1
74.0,june,1
88.0,june,1
92.0,june,2
112.0,june,1
116.0,june,1
179.0,june,1
182.0,june,1
211.0,june,2
213.0,june,1
217.0,june,1
238.0,june,1
253.0,june,1
287.0,june,1
315.0,june,1
321.0,june,1
341.0,june,1
357.0,june,1
378.0,june,1
383.0,june,1
384.0,june,1
391.0,june,1
424.0,june,1
469.0,june,1
234.0,july,1
369.0,july,1
220.0,aug,1
148.0,oct,2
168.0,oct,1
177.0,oct,1
181.0,oct,2
384.0,oct,1
